activity	time	p	p_peak	p_smooth
Hunting	1065.0	6.036015487241044e-4	0.5553773814830198	0.555735377767073
Bowling	1065.0	3.329060730578103e-4	0.27006255701303966	0.2813241583723049
Rollerblading	1065.0	2.272173590714003e-4	0.7135722730317663	0.6914472826612266
Golfing	1065.0	0.0012704029507824373	0.5418081066055992	0.5369404778598031
Boating	1065.0	3.944127951343416e-4	0.5856000721899308	0.5795791999079055
Playing baseball	1065.0	4.162969408366412e-4	0.8917138365446021	0.8701190620345147
Running	1070.0	0.0010741919860306883	0.7329048558130292	0.7161494400765115
Hiking	1070.0	1.1983262050503634e-4	0.2368899754745082	0.24043106691285795
Biking	1070.0	7.338682126179205e-4	0.8844007622168182	0.8840325755353362
Walking	1070.0	0.003505223748527928	0.758126264416433	0.7511064490819249
Doing yoga	1070.0	3.8408391653322287e-4	0.8996592500176341	0.9326801725903991
Fishing	1070.0	0.001183597720899073	0.7081265012523783	0.7015527415074093
Dancing	1070.0	2.2863977024211525e-4	0.30670704613173105	0.3152332868481615
Playing football	1070.0	7.013504034208116e-4	0.7255251412156112	0.7295936784704388
Softball	1070.0	2.755066864060576e-4	0.46265265477617484	0.4863889823786882
Playing soccer	1070.0	7.864777024306827e-4	0.9769948804813698	0.9590174234825014
Doing aerobics	1070.0	4.008159635177493e-4	0.6552901837683918	0.6616427679555046
Hunting	1070.0	6.002369831421064e-4	0.552281624643582	0.5439872581028579
Bowling	1070.0	3.877808622937009e-4	0.3145784943778193	0.29811568887805967
Rollerblading	1070.0	2.1251044900226387e-4	0.6673854707108675	0.6931787244394126
Golfing	1070.0	0.001245963049254706	0.5313848493515037	0.5357151499519524
Boating	1070.0	3.965030598807948e-4	0.5887035698490322	0.5960642528250379
Playing baseball	1070.0	3.99470784535495e-4	0.8556719757530237	0.839679349826517
Running	1075.0	9.91337152444657e-4	0.6763742629092688	0.704077010543975
Hiking	1075.0	1.1983262050503634e-4	0.2368899754745082	0.23783095849979394
Biking	1075.0	7.211895107452305e-4	0.8691213790696362	0.9175768974594268
Walking	1075.0	0.003420744546859023	0.7398547056866868	0.7862689760695223
Doing yoga	1075.0	3.994139719785147e-4	0.9355676168899737	0.945075622302536
Fishing	1075.0	0.0011553319342120477	0.6912155590644995	0.7083022373988479
Dancing	1075.0	2.397204863362054e-4	0.32157118677814567	0.3228633490310156
Playing football	1075.0	7.057590992609029e-4	0.7300857997058006	0.7422108061023382
Softball	1075.0	3.1424922966502236e-4	0.5277122027870094	0.5365769180212885
Playing soccer	1075.0	7.665745445928444e-4	0.9522703609522297	0.9737132794518762
Doing aerobics	1075.0	4.121055784966946e-4	0.6737474672790068	0.6949827771618294
Hunting	1075.0	5.698286848303149e-4	0.5243027681819719	0.5356815956433585
Bowling	1075.0	3.8177455800382515e-4	0.30970601524332014	0.3420723470883827
Rollerblading	1075.0	2.2244298422361596e-4	0.6985784295756041	0.6881807766206919
Golfing	1075.0	0.0012519835261903937	0.5339524938987542	0.5407384845282718
Boating	1075.0	4.134660048976286e-4	0.613889116436151	0.6082254407557489
Playing baseball	1075.0	3.6024613790157107e-4	0.7716522371819252	0.8048401748902249
Running	1080.0	0.0010302910472257778	0.7029519129096269	0.6641046868385638
Hiking	1080.0	1.2126063105987146e-4	0.23971292455036533	0.23567362868924002
Biking	1080.0	8.291347370441649e-4	0.9992085510918262	0.9334643915500695
Walking	1080.0	0.003980059435116856	0.8608259581054472	0.7887584051678109
Doing yoga	1080.0	4.269215444910887e-4	1.0	0.9574491343722066
Fishing	1080.0	0.0012127447098941881	0.7255646518796659	0.6937930476293257
Dancing	1080.0	2.5369099271393476e-4	0.3403118141831701	0.31767151570924695
Playing football	1080.0	7.453307866140522e-4	0.7710214773856029	0.7193382564386598
Softball	1080.0	3.688284159968194e-4	0.6193658965006811	0.5914261892885602
Playing soccer	1080.0	7.984558257892247e-4	0.9918745969220293	0.9121483454195608
Doing aerobics	1080.0	4.623616761215472e-4	0.7559106804380894	0.7140161658654676
Hunting	1080.0	5.765209857183884e-4	0.5304603941045216	0.4792526415898077
Bowling	1080.0	4.954621707789368e-4	0.4019325316440087	0.39986961056058173
Rollerblading	1080.0	2.2244298422361596e-4	0.6985784295756041	0.659731340596168
Golfing	1080.0	0.001305738297323324	0.5568781103345571	0.5188018368447024
Boating	1080.0	4.189851697891216e-4	0.6220836359820637	0.5782247867150361
Playing baseball	1080.0	3.675028949683435e-4	0.7871963117357256	0.7395940040672545
Running	1085.0	8.984340437269288e-4	0.6129878846967957	0.6543545297905274
Hiking	1085.0	1.1655871475227736e-4	0.2304179860428465	0.23242761235090062
